input,output
what is 4564051911479563497 + 3090864463818278082,7654916375297841579
what is -58867004735235770368 / -21559793162049683260,2.73
what is -59970832777850457065 * 84592846834347063485,-5073103471704944148478671192647821771525
what is -20237715836354770114 / -38870951590791958959,0.52
what is 9567225245371709733 + 83324714299469822047,92891939544841531780
what is 91060679491317822622 + -39621009062296090728,51439670429021731894
what is 44487525548100806318 / -94703279360229278852,-0.47
what is 20768106176174417532 + -16562006744856960288,4206099431317457244
what is -90486876765125428848 / -30646286189116193616,2.95
what is -58770967617925135648 + -54778046815943464274,-113549014433868599922
what is 19906874380985640305 - 33634825572628912214,-13727951191643271909
what is -747693098798501654 / -72709605529422988006,0.01
what is 49522350913088600789 / 91381755373656740470,0.54
what is 89746997266162996976 * 28151433083026388738,2526506587940939859537738848600494456288
what is 29988117791651528596 - 74162055652969750349,-44173937861318221753
what is -39413800987410014716 - -49843493892541687266,10429692905131672550
what is -41573056002887501095 + 17983399661792958152,-23589656341094542943
what is 34449962634323860890 - 1569283863699694433,32880678770624166457
what is -27412106027479845845 - 55401942608829419378,-82814048636309265223
what is -92633717176591728569 * 85423623672479750714,-7913107795476095280822171031235471948266
what is -12505795733645399092 + 40654610623868644710,28148814890223245618
what is 20538302224932421455 / -63101091847165024867,-0.33
what is -28543106818221349749 + -346276677609973755,-28889383495831323504
what is -55624873388835950350 / 23626236221990137324,-2.35
what is -81266799069043787664 + 17221736039516451207,-64045063029527336457
what is -13072997968035938829 / 39229346817144760757,-0.33
what is -59037852590546391189 - -95819249195839179642,36781396605292788453
what is 908666700291453495 / -64742634913488504032,-0.01
what is -59878570233648820063 * -99523881959602815061,5959347755843451921777632741135855368843
what is -49181410859794584782 - 62258795729440339916,-111440206589234924698
what is -78555795215100431062 + -38294107874397827447,-116849903089498258509
what is -41150825041805741359 - 38671670340636230772,-79822495382441972131
what is -42060071419313997606 - -73797338234507310357,31737266815193312751
what is 41132200176949310907 - -78174414790217173474,119306614967166484381
what is 23180823375164621313 / 61623202571958647871,0.38
what is 72707725976130930601 + -43267017846277337392,29440708129853593209
what is 14836391023781072645 - 18983335377471707442,-4146944353690634797
what is -84269684743841814915 / 61151213399477999300,-1.38
what is -6657479743601395502 + 8301157048473595502,1643677304872200000
what is -75856033861529372583 / -93110027704152806744,0.81
what is -98202191603121307184 / -92869407301482590103,1.06
what is -41355411325509257477 * -37947276020529355119,1569325208511625559228476702267338974763
what is 96911793603216780008 + 77045700883943307482,173957494487160087490
what is 37772864135251079025 + 86179610162397132112,123952474297648211137
what is 9739704153557342588 * 39692878562025593433,386596894197207872114608690015184024604
what is -85989014586533532031 - 43384636062324607824,-129373650648858139855
what is 68724028195508994176 / -13795994573983796242,-4.98
what is -92990159204684843393 - 684706940501445455,-93674866145186288848
what is 43501094648307182754 + 22193318694575836757,65694413342883019511
what is 81493032797311297553 / -7208923170120311877,-11.3
what is -97400873780936016454 - 12584028849338437492,-109984902630274453946
what is 75730390423331385886 - 50684384095169720943,25046006328161664943
what is -779290718143159886 / -75763219523962083844,0.01
what is 94681605824356255962 / 14920670298290155788,6.35
what is 60713553657419378732 / 88962205871120325416,0.68
